session_id,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50,calc_dist_m,ttc,label
people_with_keeping_distance,2267158.75,0.1888683153607494,0.0327309711773212,15867.0,301.1558,11.0,40976.5625,241093.94291501096,-45.0,15964.4,-52184.83224837817,8516.0,10605.2,-24439.7561462906,13488.0,10616.32,81312.826611939,6741.0,10053.44,60240.33541009738,1.393249536,,not_towards
people_with_keeping_distance,2267388.75,0.1960669076739466,0.0326482525955175,16371.0,353.15632,2.0,41015.625,275931.4661441917,1949.0,16056.2,13752.116568499652,15354.0,11507.2,117955.9670374344,15313.0,11176.0,90265.7275098775,9402.0,10198.34,-1211.943940196361,1.437504768,,not_towards
people_with_keeping_distance,2267587.75,0.198735759948618,0.0316857816607639,16388.0,342.32234,4.0,41054.6875,315155.42132617976,211.0,16449.4,53003.017561216606,15227.0,13044.3,147276.3255783642,15587.0,11789.2,139979.64450644326,297.0,10386.72,47030.45870310324,1.438997504,,not_towards
people_with_keeping_distance,2267779.25,0.1940473875004515,0.0289766185113537,16403.0,340.29884,14.0,41210.9375,284192.13400294376,-1041.0,16494.6,10840.240163532202,15053.0,14568.5,28715.24216480326,16382.0,12413.28,31480.26138464111,1838.0,10392.96,39461.33507446907,1.440314624,,not_towards
people_with_keeping_distance,2267978.25,0.1891288531115947,0.0262801655080082,16063.0,289.5927,7.0,41054.6875,266455.53114347416,196.0,16218.4,25361.588228463224,712.0,16039.8,-18421.42919036624,490.0,13054.96,12771.29233113918,2024.0,10422.92,11227.155095225142,1.4104599039999999,,not_towards
people_with_keeping_distance,2268177.25,0.1843992337525801,0.0237622401019957,15610.0,438.1035,15.0,40585.9375,270282.59984464484,-761.0,16167.0,-5648.866299546848,-302.0,16065.7,-22996.175318744263,1447.0,13056.44,-24317.576258627465,1884.0,10454.34,94915.4037795774,1.3706828800000002,,not_towards
people_with_keeping_distance,2268587.0,0.1099797297128014,0.0026136383350178,14903.0,358.89854,7.0,41171.875,167976.12775317513,-1485.0,15873.4,-147179.29357300463,481.0,15964.8,-94203.2218225169,389.0,13086.04,-98284.14415513873,1287.0,10477.88,-23944.74220596443,1.308602624,,not_towards
people_with_keeping_distance,2268635.0,0.0592997482284353,-0.0101490954983496,13733.0,225.43742,3.0,40546.875,208449.33747470527,-2670.0,15342.4,-75742.79652823848,-2444.0,15895.9,-53703.06629025788,-2754.0,13054.8,-22341.9381359682,1598.0,10480.22,15922.53307375763,1.205867264,,not_towards
people_with_keeping_distance,2268828.25,0.016810965687799,-0.0203524727643726,13553.0,294.96586,14.0,40703.125,189034.4630656067,-2510.0,14772.4,-77421.06807786747,-3891.0,15633.5,-84317.43077380487,-3805.0,12937.44,-113643.58410193076,2613.0,10508.58,24205.07025205143,1.190061824,,not_towards
people_with_keeping_distance,2269058.25,-0.0525321874427768,-0.0366607607912072,12172.0,281.9992,17.0,40625.0,157304.31213361782,-3438.0,13994.2,-112978.28771102702,-3695.0,15106.3,-83789.63078139312,-4914.0,12730.0,-139733.34030124452,2476.0,10533.22,-20655.470249242208,1.068798976,,not_towards
