label,timestamp,velocity,acceleration,echo_index,echo_amplitude,echo_width,Peak Frequency,Spectral Centroid,Trend_5,Mean_5,Centroid_Trend_5,Trend_10,Mean_10,Centroid_Trend_10,Trend_25,Mean_25,Centroid_Trend_25,Trend_50,Mean_50,Centroid_Trend_50
cardboard,494930.625,0.1535763196142386,0.03936153288488313,16309.0,321.39124,5.0,40937.5,246648.14529349544,-1210.0,17926.0,5025.8666520206025,11135.0,11711.7,130999.75228795239,10109.0,11690.64,119892.4774186825,-1256.0,11475.66,1062.4805089235597
cardboard,495129.4375,0.09311102152032409,0.022079498337357367,10147.0,260.01764000000003,15.0,40703.125,193918.00226524012,-9939.0,16451.6,-98866.90624127089,7711.0,12209.0,63572.381887906304,6389.0,11848.52,60517.33826230079,-6173.0,11327.3,-72096.12124557502
cardboard,495320.59375,0.03333877911038843,0.005863891635069753,9464.0,266.41666,17.0,40468.75,160746.12723702125,-6911.0,14327.2,-115659.53823806034,8289.0,12911.8,44968.155134628265,5787.0,12076.76,18940.511695956666,-7870.0,11190.18,-118884.33481883034
cardboard,495520.71875,-0.024629144897376658,-0.009143792774124174,8710.0,371.60224,19.0,40859.375,145807.30465878575,-10631.0,12794.2,-133198.9989143032,7326.0,13665.3,-36070.21650392219,-4109.0,12278.08,-100357.90378230807,-7538.0,11017.7,-138483.71821917314
cardboard,495748.8125,-0.09865180748370433,-0.027410678252812175,6345.0,351.0734,17.0,40507.8125,140800.35385046725,-9964.0,10195.0,-105847.7914430282,-10973.0,14161.4,-147038.5006936082,-10036.0,12019.12,-116455.37979596562,-11010.0,10819.64,-128312.95080652699
cardboard,495940.8125,-0.1842614667019401,-0.04781942295187977,3680.0,506.81224,16.0,40781.25,128376.61681040848,-6467.0,7669.2,-65541.38545483164,-13839.0,12797.6,-113245.66183106636,-12388.0,11511.08,-160956.0213421266,-6634.0,10546.14,-35885.177701557404
cardboard,496165.625,-0.28558699096095774,-0.07082680790943176,672.0,711.57844,15.0,40820.3125,118950.6120142796,-8792.0,5774.2,-41795.515222741655,-19414.0,11112.9,-173834.29649223143,-12892.0,10895.24,-131890.87741122313,-8606.0,10353.3,-35721.429864598045
cardboard,496356.6875,-0.3853581424555673,-0.0927329776990321,25.0,171.20080000000002,20.0,40625.0,217333.72956684636,-8685.0,3886.4,71526.42490806061,-16350.0,9106.8,-59071.93590823523,-17310.0,10353.68,-67236.91713109144,-8732.0,10168.24,69526.32390616351
cardboard,496546.59375,-0.4732987598230092,-0.1106089531133962,21.0,295.60645999999997,19.0,40312.5,192242.10443114393,-6324.0,2148.6,51441.750580676686,-19320.0,7471.4,-86764.19914194502,-14957.0,9661.12,-65115.854046740424,-7352.0,9993.52,38918.29718892806
cardboard,496736.3125,-0.5450178367762896,-0.12351773292323946,4786.0,252.05458,15.0,40976.5625,208761.8076791906,1106.0,1836.8,80385.19086878211,-11523.0,6015.9,-37886.33761430485,-11506.0,9253.44,-66215.30503918178,-418.0,9941.78,76919.21319036232
cardboard,496927.28125,-0.5929039172859932,-0.12970815751662276,31546.0,144.22478,14.0,40859.375,251559.53002031258,30874.0,7410.0,132608.918006033,21399.0,7539.6,57641.52775507246,14250.0,9863.6,-18179.57528227876,29445.0,10468.62,113273.57816750446
cardboard,497339.65625,-0.3781476426110125,-0.06184126733842481,16369.0,366.32882,2.0,41289.0625,265711.84620579286,16344.0,10549.4,48378.11663894649,6905.0,8161.8,104965.7189687716,5977.0,9826.52,4824.005488145136,16345.0,10753.98,162999.59517914546
cardboard,497383.09375,-0.1777410162498451,-0.01048015539364968,17443.0,346.46542,3.0,250546.875,263676.1859679057,17422.0,14033.0,71434.08153676175,8733.0,8959.7,117868.88130911993,7838.0,10108.56,101123.6045660084,17400.0,11102.36,32143.997074664745
cardboard,497548.375,-0.048732058511039594,0.022654499681424023,16321.0,308.2244,2.0,40429.6875,259834.20619637216,11535.0,17293.0,51072.39851718157,9976.0,9720.8,119033.85234590492,7135.0,10377.2,117644.77660084699,15237.0,11427.92,46781.640748317004
cardboard,497739.6875,0.06419842102734574,0.05025705006880654,13323.0,293.29506000000003,4.0,40703.125,253330.26462788865,-18223.0,19000.4,1770.7346075760724,9643.0,10418.6,124953.64781748017,5725.0,10542.68,104733.60010289389,-3508.0,11672.7,-23614.492011774884
cardboard,497947.40625,0.16028863406897542,0.07208049355776219,17351.0,313.32932,7.0,40664.0625,248842.4986479304,982.0,16161.4,-16869.347557862464,16679.0,11785.7,129891.88663365079,12177.0,10932.8,133194.10564238735,1026.0,11683.1,-6950.534041744133
cardboard,498168.875,0.24037937034282203,0.08844033924950687,16997.0,326.67636,4.0,41210.9375,245225.28574991928,-446.0,16287.0,-18450.900217986404,16972.0,13418.2,27891.556183072913,14561.0,11405.72,114879.66537258546,450.0,11696.54,-11433.041484574525
cardboard,498360.6875,0.21269453134242441,0.077041880513755,10238.0,267.92062,15.0,40742.1875,169685.62257738918,-6083.0,14846.0,-90148.58361898299,10217.0,14439.5,-22556.481853754754,9063.0,11717.8,53907.65047499619,-6675.0,11570.36,-118931.75873516244
cardboard,498558.625,0.18332806041158017,0.06564266660692719,9803.0,287.42134,18.0,40625.0,163714.44179434946,-3520.0,13542.4,-89615.82283353919,5017.0,15417.7,-45047.36588484113,8419.0,12062.92,-18163.079368358478,-6630.0,11428.16,-110738.05706851551
cardboard,498758.34375,0.15309862921088618,0.054561836310900794,9544.0,377.10816,17.0,40703.125,140153.14700212414,-7807.0,12786.6,-108689.35164580625,-22002.0,15893.5,-111406.38301818844,-7774.0,12389.32,-147685.7075419513,-6920.0,11290.38,-110502.08160524294
cardboard,499233.9375,0.06969215575703833,0.026946946103047428,4918.0,477.67902,16.0,40625.0,124587.70442505676,-12079.0,10300.0,-120637.58132486252,-11451.0,13230.7,-141124.1417807361,-12601.0,11893.32,-117034.57421641808,-11413.0,11059.46,-118912.42971392546
cardboard,499278.625,-0.0033462923336660955,0.008216185419522012,4277.0,518.05376,16.0,40976.5625,122904.91524043282,-5961.0,7756.0,-46780.70733695636,-13166.0,12021.5,-140771.27072747285,-15809.0,11363.64,-169879.99326607818,-6489.0,10818.38,-58694.33744930754
cardboard,499654.03125,-0.10266204619479728,-0.017445780528401487,1181.0,699.01142,16.0,40859.375,118490.31315306935,-8622.0,5944.6,-45224.12864128011,-15140.0,10395.3,-141343.8930433028,-15194.0,10607.44,-157915.35232201224,-8735.0,10626.68,-38036.63941152752
cardboard,499697.84375,-0.16919641143555264,-0.03392392611173772,1038.0,732.15512,16.0,40664.0625,119641.76881003843,-8506.0,4191.6,-20511.378192085715,-12285.0,8867.0,-133688.49581785023,-18303.0,9993.96,-159364.53476305053,-8289.0,10449.12,-21204.768213623902
cardboard,499859.71875,-0.224707734570816,-0.04649289123562744,971.0,1360.74286,16.0,40625.0,96820.88605499243,-3947.0,2477.0,-27766.818370064328,-16380.0,7631.8,-152021.61259293795,-15338.0,9259.16,-149827.259238503,-5693.0,10282.0,-37702.521993643124
